body_part,sub_category,symptom_description,twi_translation
Eyes,Pain & Pressure,"It feels like there is dirt or sharp sand trapped inside my eye.","Ɛte sɛ nea anumtam anaa anhwea ano yaw bi hyɛ m'ani mu."
Eyes,Pain & Pressure,"My eye is throbbing with a very heavy, internal ache.","M'ani rehunu, na ɛyɛ me yaw kɛse wɔ m'ani mu."
Eyes,Pain & Pressure,"I am feeling a sharp, piercing pain deep behind my eyeball.","Mete ɔyaw a ano yɛ dɛn a ɛwɔ m'aniwa akyi pɛɛ."
Eyes,Pain & Pressure,"It feels as though my eye is being tightly squeezed from within.","Ɛte sɛ nea wɔrekyim m'ani denneennen firi mu."
Eyes,Pain & Pressure,"There is a constant, heavy pressure sitting right behind my eyes.","Mete nhyɛsoɔ kɛse a ɛda hɔ daa wɔ m'ani akyi."
Eyes,Pain & Pressure,"My eye hurts so severely it feels like it wants to force its way out.","M'ani yɛ me yaw kɛse araa ma ɛte sɛ nea ɛpɛ sɛ ɛpue."
Eyes,Vision Changes,"My sight keeps becoming blurry, as if I am looking through thick smoke or fog.","M'ani so ayɛ me kusuu, sɛ nea merehwɛ wusiw anaa obosom mu."
Eyes,Vision Changes,"I am seeing strange flashing lights and moving lines before my eyes.","Mihu nkanea a ɛretwa ɛne nsensanee a ɛrekeka wɔ m'ani so."
Eyes,Vision Changes,"A dark shadow or curtain seems to be falling across my line of sight.","Sunsuma bi anaa ntama bi reba abɔ m'ani so wɔ baabi a mehwɛ."
Eyes,Vision Changes,"My vision is split; I am seeing everything double.","M'ani so ayɛ mpaapaemu; mehu ade nyinaa mmɔho mmienu."
Eyes,Vision Changes,"There are tiny dark spots drifting across my eyes like small insects.","Nketenkete nkɔmɔ bi rekeka wɔ m'ani so sɛ mmoawa nketewa."
Eyes,Vision Changes,"I have a dark or blurred patch right in the center of my vision.","Mewɔ sunsuma bi anaa baabi a ayɛ kusuu wɔ m'ani so mfimfini pɛɛ."
Eyes,Redness & Irritation,"My eye is completely bloodshot and looks very frightening.","M'ani ayɛ meme kɔkɔɔ, na ayɛ hu kɛse."
Eyes,Redness & Irritation,"My eyes are burning with heat and watering non-stop.","M'ani rehyehye me, na ɛreyi nsuo a ɛrennyae."
Eyes,Redness & Irritation,"My eyelids are so heavily swollen that I can barely open them.","M'ani nkwaa ahono kɛse araa ma mintumi mmuebue m'ani yiye."
Eyes,Redness & Irritation,"A sticky discharge is sealing my eyelids together when I wake up.","Nsuo a ɛyɛ mmɔborɔsane rekyekyere m'ani nkwaa mu sɛ menyane a."
Eyes,Redness & Irritation,"My eye is itching me so intensely that I cannot stop rubbing it.","M'ani reyɛ me titiri araa ma mintumi nnyae sɛ meretwitwa."
Eyes,Light & Sensitivity,"Bright light pierces through my eyes like a sharp object.","Hann a ano yɛ den hyɛ m'ani mu sɛ biribi a ano yɛ dɛn."
Eyes,Light & Sensitivity,"Even ordinary room light makes my eyes ache and tear up.","Mpo dan mu hann a ɛyɛ dɛ ma m'ani yɛ me yaw na ɛma nsuo tu."
Eyes,Light & Sensitivity,"I am forced to squint constantly because the light is too bright for me.","Ɛyɛ me fɛ sɛ meboaboa m'ani so daa efiri sɛ hann no yɛ den dodo ma me."
Ears,Pain & Pressure,"There is a deep, heavy throbbing pain inside my ear.","Mewɔ ɔyaw a emu yɛ duru na ɛrehunu wɔ m'aso mu."
Ears,Pain & Pressure,"It feels like a sharp object is piercing deep into my ear canal.","Ɛte sɛ nea biribi a ano yɛ dɛn rehyɛ m'aso kwan mu pɛɛ."
Ears,Pain & Pressure,"My ear feels completely blocked and filled with heavy pressure.","M'aso yɛ me sɛ nea asi koraa na ahyɛhyɛ mu ma."
Ears,Pain & Pressure,"It feels as though my ear is stuffed tightly with cotton.","Ɛte sɛ nea wɔde asaawa ahyɛ m'aso mu denneennen."
Ears,Pain & Pressure,"I am feeling a continuous burning heat inside my ear.","Mete ɔhyew a ɛtoa so wɔ m'aso mu."
Ears,Pain & Pressure,"The ear pain is so severe that it has spread into my jaw.","M'aso yaw no ano yɛ den araa ma akodu m'abɔne mu."
Ears,Hearing Changes,"There is a loud, continuous ringing sound in my ear that never stops.","Nnyigyei kɛse bi reyɛ wɔ m'aso mu a ɛrennyae da."
Ears,Hearing Changes,"I keep hearing a persistent buzzing or humming sound in my ears.","Mete nnyigyei bi a ɛtoa so sɛ bɔsɔɔ anaa bɔsɔɔ wɔ m'aso mu."
Ears,Hearing Changes,"Sounds are heavily muffled, as if my ears are blocked under water.","Nnyigyei no ayɛ kusuu, sɛ nea m'aso asi wɔ nsuo mu."
Ears,Hearing Changes,"My hearing in one ear suddenly became very dull.","M'aso baako aso tee prɛko pɛ a ɛyɛ den."
Ears,Hearing Changes,"I can hear a heavy thumping sound in my ear that beats along with my heart.","Mete nnyigyei duruduru bi wɔ m'aso mu a ɛne m'akoma bɔ mu."
Ears,Discharge & Sensation,"I feel a wet, watery fluid draining from deep inside my ear.","Mete nsuo a ɛfɔm sɛ nsuo sɛ ɛrefiri m'aso mu pɛɛ."
Ears,Discharge & Sensation,"I can feel fluid moving inside my ear whenever I tilt my head.","Sɛ misi m'ani a, mete sɛ nsuo rekeka wɔ m'aso mu."
Ears,Discharge & Sensation,"There is a deep, unreachable itching sensation inside my ear canal.","Mewɔ titiri bi a ɛyɛ den sɛ wɔbɛnya wɔ m'aso kwan mu."
Ears,Discharge & Sensation,"A sticky, foul, or bloody fluid is discharging from my ear.","Nsuo a ɛyɛ mmɔborɔsane, ɛnne bɔne, anaa mogya refiri m'aso mu."
Nose,Congestion & Pressure,"My nostrils and sinuses feel completely blocked and heavy.","M'ahwere mu ne m'ahwere mu atenaeɛ asi koraa na ayɛ duru."
Nose,Congestion & Pressure,"There is a heavy, painful weight across my forehead and cheekbones.","Mewɔ duru a ɛyɛ yaw wɔ m'anim na m'anim nnompe so."
Nose,Congestion & Pressure,"My nose is so tightly blocked that I can only breathe through my mouth.","M'ahwere si me denneennen araa ma mintumi nfa m'ano nkutoo na ahome."
Nose,Congestion & Pressure,"My whole nasal area feels heavily swollen from the inside.","M'ahwere mu nyinaa ahono kɛse firi mu."
Nose,Congestion & Pressure,"The pressure in my nose is so severe that it is causing my upper teeth to ache.","Nhyɛsoɔ a ɛwɔ m'ahwere mu no ano yɛ den araa ma ɛma m'ase soro yɛ me yaw."
Nose,Discharge & Irritation,"Thick, yellowish-green catarrh is draining down the back of my throat.","Atiridii a emu yɛ duru, a ɛyɛ akokɔsradeɛ-ahahanmono reba m'amen mu akyi."
Nose,Discharge & Irritation,"My nose is running so severely that I am constantly wiping it.","M'ahwere retu nsuo dennen araa ma mepopa daa."
Nose,Discharge & Irritation,"There is a continuous dripping at the back of my throat making me cough.","Nsuo a ɛretoa so sɛ ɛresian wɔ m'amen akyi no ma meworo."
Nose,Discharge & Irritation,"The edges of my nostrils are raw, peeled, and painful from constant wiping.","M'ahwere ano ayɛ kusuu, atete, na ɛyɛ yaw efiri sɛ mepopa daa."
Nose,Discharge & Irritation,"Blood is dripping from my nostrils and it refuses to stop.","Mogya retu firi m'ahwere mu na ɛmpɛ sɛ ɛgyae."
Nose,Smell & Sensation,"I have completely lost my sense of smell.","M'ani nhu ahome nka koraa."
Nose,Smell & Sensation,"Everything I smell has a terrible, foul odor that is not real.","Biribiara a meka hua no yɛ bɔne hu, na ɛnyɛ nokware."
Nose,Smell & Sensation,"My nostrils feel like they are burning with heat whenever I breathe.","Sɛ mehome a, m'ahwere mu hyehye me sɛ nea ɛrehye."
Mouth & Throat,Throat Pain,"My throat feels raw and sharp, as if I have swallowed something rough.","M'amen yɛ me sɛ nea ayɛ kusuu na ano yɛ dɛn, sɛ nea menee biribi a ɛyɛ den."
Mouth & Throat,Throat Pain,"My throat is so sore that it burns severely whenever I swallow.","M'amen yɛ me yaw araa ma sɛ menene a, ɛhyehye me denneennen."
