body_part,sub_category,original_english,twi_translation
Wrist & Hand,Pain & Tenderness,There's a constant aching throb deep inside my wrist joint.,"Abasam no mu yɛ me ya, ɛtɔ nsuo daa"
Wrist & Hand,Pain & Tenderness,I have a sharp pain in my wrist every time I twist or rotate it.,Abasam no yɛ me ya paa sɛ me twiw no
General & Systemic,Widespread Pain,My whole body feels bruised from head to toe for no reason.,Abusuyɛ de me firi ti kosi nan ase nanso mennim nea efiri ba.
Eyes,Vision Changes,"My vision keeps going blurry, like looking through a foggy window.","Ade a mehu no kɔ fitaa, te sɛ nneɛma a ɛwɔ ewiriw ntam."
Eyes,Vision Changes,I'm seeing weird flashing lights and zig-zag lines.,"Ade a mehu no mu nneɛma rehyerɛn, na nkɔntɔnkyɛ nsensanee bi nso wɔ hɔ."
Eyes,Vision Changes,"My vision keeps going blurry, like looking through a foggy window.","Ade a mehu no nni hɔ yie, ɛte sɛ nea nsuo adom mframa no."
Eyes,Vision Changes,I'm seeing double — everything looks split into two images.,Ade biara a mehu no apae ayɛ mfonini abien.
Eyes,Vision Changes,There are floaters drifting across my vision like tiny specks.,"Ade biara a mehu no mu no, nneɛma nketenkete bi retutu."
Eyes,Light & Sensitivity,I have to squint constantly because everything looks too bright.,"Ade hyerɛn dodo nti, ɛsɛ sɛ mebue me ani ketewa daadaa."
Nose,Discharge & Irritation,There's a constant drip at the back of my throat making me cough.,Adeɛ bi resu wɔ me menem akyi nti merewosow daadaa.
Nose,Smell & Sensation,"Everything I smell has a foul, rotten odour that isn't real.","Adeɛ biara a mete ne hwi no, ɛfɔn bɔne nti ɛnyɛ nokware."
Head,Sensitivity,The slightest noise sends a jolt of pain through my head.,Adeɛ biara a ɛwɔ nnyigyei no ma me ti mu yɛ me ya sɛ deɛ wɔbɔ me twerɛ.
Upper Abdomen,Stomach & Digestion,Every bite of food gives me a sharp cramp right under my ribs.,"Aduan a meka biara, ɛma me mfeɛ ase yɛ me ya."
Jaw,Function & Stiffness,It hurts just to chew soft food.,Aduane a emu yɛ mmerɛw mpo a mebɛwe no yɛ me yaw.
Mouth & Throat,Swallowing & Lumps,"Swallowing feels like pushing food through a narrow, painful tube.","Aduane a me mene no yɛ me ya dodo, ɛte sɛ nea ɛkwan no ayɛ ketewa."
Heart & Cardiovascular,Heartburn & Esophageal,"Every time I swallow, food feels like it gets stuck behind my breastbone.",Aduane a meremene no akye me wɔ me kokoɔ mu.
Jaw,Function & Stiffness,It hurts just to chew soft food.,Aduane a ɛyɛ brɛoo mpo a mebɛwe no yɛ me yaw.
Mouth & Throat,Swallowing & Lumps,Food feels like it's getting stuck halfway down my throat.,"Aduane no atwam wɔ me menewam, ɛte sɛ nea ɛkye."
Mouth & Throat,Swallowing & Lumps,Food feels like it's getting stuck halfway down my throat.,Aduane no renyɛ yiye m’akoma mu ɛbɛsi sɛ ɛbɛtwa me mene.
Lungs & Breathing,Breathlessness,"Breathing feels like hard, exhausting work.",Ahom no ayɛ adwuma a ɛma me brɛ.
Lungs & Breathing,Breathlessness,"Breathing feels like hard, exhausting work.",Ahom no yɛ me den na ɛma me brɛ.
General & Systemic,Fever & Temperature,I'm shaking with chills even though I feel boiling hot to the touch.,"Ahuhuro keka me nanso wode wo nsa ka me a, me ho hyew yiye."
General & Systemic,Fever & Temperature,I'm shaking with chills even though I feel boiling hot to the touch.,Ahuhuro rekyere me nanso me ho hyew dodo.
Skin,Lesions & Wounds,A mole on my skin has changed shape and started to bleed.,Ahweneɛ bi a ɛwɔ me nipa ho no asakra ne su na ɛrefiri mogya.
Ears,Discharge & Sensation,There's an itching deep inside the ear canal I can't reach.,Akeka bi wɔ me aso mu a mentumi nka.
Ears,Discharge & Sensation,There's an itching deep inside the ear canal I can't reach.,Akeka bi wɔ me aso mu a ɛtɔ nkyɛn a mentumi nka.
Jaw,Function & Stiffness,"My jaw feels stiff and tight, especially first thing in the morning.","Anɔpa biara a mɛsɔre no, me bo no mu yɛ den."
Lower Back,Morning Stiffness,My back is so stiff in the morning I have to roll out of bed.,"Anɔpa biara m'akyi yɛ me den, enti ɛsɛ sɛ metwitwa me ho fi mpa so."
Eyes,Redness & Irritation,There's a crusty discharge sealing my eye shut in the morning.,"Anɔpa biara, me ani mumu abue na ɛma me ani si."
Eyes,Redness & Irritation,There's a crusty discharge sealing my eye shut in the morning.,"Anɔpa biara, me ani mumu hyɛ me ani mu na ɛma ɛrentumi mmue."
Eyes,Redness & Irritation,There's a crusty discharge sealing my eye shut in the morning.,"Anɔpa biara, me ani mumu ka me ani bom."
Neck,Stiffness & Mobility,My neck feels stiff as a rod first thing in the morning.,"Anɔpa biara, me kɔn yɛ me den te sɛ dadeɛ."
Eyes,Redness & Irritation,There's a crusty discharge sealing my eye shut in the morning.,"Anɔpa biara, mɛtɛ hyɛ me ani mu na ɛma ɛto."
Neck,Stiffness & Mobility,My neck feels stiff as a rod first thing in the morning.,"Anɔpa bɔne, me kɔn yɛ me den dadeɛ."
Neck,Stiffness & Mobility,My neck feels stiff as a rod first thing in the morning.,"Anɔpa koraa, me kɔn ayɛ den te sɛ dadeɛ."
Lower Back,Morning Stiffness,I can barely stand up straight for the first hour after waking.,"Anɔpa m'ani bue a, dɔnhwerew a edi kan no, mentumi nnyina tẽẽ koraa."
Neck,Stiffness & Mobility,My neck feels stiff as a rod first thing in the morning.,"Anɔpa no, me kɔn ayɛ kɛtɛ, ɛyɛ den te sɛ dadeɛ."
Lower Back,Morning Stiffness,My back is so stiff in the morning I have to roll out of bed.,"Anɔpa yi, m'akyi ayɛ den nti mentumi nnyina hɔ, ɛsɛ sɛ metwitwa me ho na mafi mpa so."
Skin,Lesions & Wounds,There's a wound on my skin that won't heal and keeps getting bigger.,Apirɛ bi wɔ me nipa ho a ɛrensa na ɛreyɛ kɛse daa.
Scalp & Hair,Scalp Condition,"There are small, painful bumps on my scalp.",Apopa a ɛyɛ ya wɔ me ti nhwi ase.
Scalp & Hair,Scalp Condition,"There are small, painful bumps on my scalp.",Apopa nketenkete a ɛyɛ me ya wɔ me ti ho.
Scalp & Hair,Scalp Condition,"There are small, painful bumps on my scalp.",Apopa nketenkete a ɛyɛ ya na ɛwɔ me ti ho.
General & Systemic,Fever & Temperature,"I feel feverish, sick, and my skin hurts when anything touches it.","Atiridii ahyɛ me na biribiara ka me honam a, ɛyɛ me ya."
General & Systemic,Fever & Temperature,"I feel feverish, sick, and my skin hurts when anything touches it.","Atiridii ahyɛ me na me ho yɛ me ya, me honam nso yɛ me ya sɛ obi ka me ho a."
General & Systemic,Fever & Temperature,"I feel feverish, sick, and my skin hurts when anything touches it.",Atiridii ahyɛ me na me honam nso yɛ me ya sɛ biribiara ka me ho a.
General & Systemic,Fever & Temperature,I'm burning up with a fever and every joint in my body aches.,Atiridii rekyere me na me nkwaboa nyinaa yere me koraa.
Skin,Rashes & Irritation,There are small fluid-filled blisters appearing in a line on one side.,Atutuo nketenkete a nsuo wom bi apue wɔ afa baako na ɛyɛ nhyehyɛe koro.
Skin,Rashes & Irritation,There are small fluid-filled blisters appearing in a line on one side.,Atutuo nketenkete a nsuo wom resisi wɔ m’afana baako so wɔ nhyehyɛe koro bi mu.
Chest,Musculoskeletal Chest Pain,It hurts right where I press on my ribs with my finger.,"Baabi a m'petɛ me mpatakuo no, ɛyɛ me ya."
Kidney & Flank,Associated Symptoms,The pain gets much worse when the car goes over a bump.,"Bere a kar no fa kwan a ɛnyɛ pɛ so no, me yareɛ no yɛ me ya kɛseɛ."
Upper Abdomen,Liver & Gallbladder Area,"I have a severe, cramping pain under my right ribs after eating.","Bere a madidi, me nifa mbatini ase yareɛ bi a ɛyɛ yaa no ba."
Hip,Pain & Aching,My hip feels like bone is rubbing directly on bone when I walk.,"Bere a meretambu no, te sɛ nea me sɛnkyɛn mu dompe retwitwa."
Elbow & Forearm,Pain & Tenderness,My forearm aches deeply after any repetitive movement.,"Bere biara a me san yɛ adwuma koro no, me nsa ase yɛ me ya paa."
Shoulder,Pain & Aching,My shoulder aches so badly it wakes me up every time I roll onto it.,"Bere biara a mɛdan mɛto m'abɔdwe so no, ɛyɛ me ya ma menyan."
Shoulder,Mobility & Instability,My shoulder clicks and catches every time I raise my arm.,"Bere biara a mɛma me nsa nkorɔ soro no, m'abɔdwe no kyerɛkyerɛ na ɛkyere me."
Heart & Cardiovascular,Heartburn & Esophageal,"Every time I swallow, food feels like it gets stuck behind my breastbone.","Bere biara a mɛmene aduane no, ɛte sɛ nea ɛrekyi me kokoɔ mu."
Ankle & Foot,Pain & Injury,The pain in my heel feels like stepping on a sharp nail every single step.,"Bere biara a mɛnantew no, ɛyɛ me ya sɛ nea merefa ntwoma nnam."
Elbow & Forearm,Nerve Pain,My forearm feels numb and weak when I bend my elbow for too long.,"Berɛ a mebɛn me abɔdwesɛ akyɛ no, me nsa ase yɛ me tɔm na ɛnyɛ den."
Nose,Smell & Sensation,My nose feels like it's on fire with every breath.,"Berɛ biara a mefiri ahum no, me hwi hɔ te sɛ nea ɛrehyew."
Upper Back,Stiffness,"Every time I move my arms, a sharp pain shoots through my upper spine.","Berɛ biara a menane me nsa no, yaayɛ duru bi firi me akyi atifi kɔ me tirim."
Chest,Respiratory & Breathing,"I'm having a sharp, stabbing pain every time I take a deep breath.","Berɛ biara a mɛhome ɛ, me kokoɔ yɛ me ya te sɛ deɛ wɔde nkranteɛ redɔ me."
Ears,Discharge & Sensation,A sticky or bloody discharge is coming out of my ear.,Biribi a ɛyɛ dɛyɛ anaa mogya a ɛfiri me aso mu.
Ears,Discharge & Sensation,A sticky or bloody discharge is coming out of my ear.,Biribi a ɛyɛ dɛyɛ anaa mogya refiri me aso mu.
Spine & Sciatica,Nerve & Sensory,I feel a weird crawling sensation running along my spine.,Biribi a ɛyɛ nwanwa retu wɔ me akyi nnompe so.
Nose,Congestion & Pressure,There's a heavy pressure across my cheekbones and forehead.,Biribi da me kɔn ne m’anim a ɛyɛ me duru.
Chest,Cardiac-Style Pain,"There's a tight, crushing weight right in the middle of my breastbone.",Biribi duru me kokoɔ mfinimfini hɔ a ɛresɛe me.
Head,Pressure & Heaviness,There's an enormous pressure sitting on top of my head.,Biribi kɛseɛ da me tiri so sɛ adesoa.
