ref_audio,transcription
abena.wav,"se woyɛ nipa a mmaa ɛda n'akoma so yi. Uh huh. Na wokae Bible a, Bible se berɛ a Nyankopɔn bɔɔ wiase"
afia.wav,"Yɛda ase. Ma me nsan wishi Owura Eric, manager ɛyɛ Asmo"
akua.wav,"Nsuo no, ɛnyɛ nsuo biara na ɛyɛ nsuo oo. Ɛnkyɛ yɛ biara, ɛna nhwehwɛmu abɛ da no adi sɛ nsuo no worenom a ɛyɛ a checki"
akwasi.wav,"Na y'ayɛ ama no ayɛ fɛfɛɛfɛ. Ɛsiane sɛ, Kwabena deɛ"
kofi.wav,Kɔpɛ kɔpɛ wo bɔne ho afɔrebɔ na bɔ. Mɛmfa me bata me ho. Wo
kwabena.wav,"Na ɛhefa na ɛfiri? Me nua Kofi rekasa no, ɔkasa yɛ ara"
kwadwo.wav,"Ɛffɔ a abɛka me nsa anɔpa yi a yɛbɛhyɛ aseɛ adi nkɔmmɔ. Uh sɛdeɛ medikan kaaeɛ no, ɛɛ"
kwaku.wav,Me kyea atiefoɔ ne ahwɛfoɔ nyinaa. Na
kwame.wav,saase. Na ɛyɛ dɛn na obi ba w'asase so bɛtu adeɛ a sɛbe
yaa.wav,"yɛnni case. Ɛsiane sɛ, deɛ ɔmo se yɛnyɔ no, saa na yɛɛyɛ no. Ɛyɛ detoxification. Tea"
yaw.wav,"Mo nneɛma nso ɛstarti te te te te te a, NDCfoɔ nso ba a, ɔmo abɛto so. Enti ɛnyɛ bɔne. Sɛbe, dɔkta adu"
