body_part,sub_category,original_english,twi_translation
Eyes,Pain & Pressure,It feels like there's sand or grit stuck under my eyelid.,Sɛdeɛ ɛteɛ ne sɛ anwea ahyɛ m'ani ase.
Eyes,Pain & Pressure,It feels like there's sand or grit stuck under my eyelid.,Metee nka sɛ biribi soso m'ani ase.
Eyes,Pain & Pressure,It feels like there's sand or grit stuck under my eyelid.,Ɛte sɛ nea anwea kɔɔ m'ani ase a ɛmfi.
Eyes,Pain & Pressure,It feels like there's sand or grit stuck under my eyelid.,M'ani ase yɛ me nwene nwene sɛ anwea hyɛ mu.
Eyes,Pain & Pressure,It feels like there's sand or grit stuck under my eyelid.,"Sɛ mepere m'ani a, m'ani ase keka me sɛ mfutuma."
Eyes,Pain & Pressure,"My eye is throbbing with a deep, aching pain.",M'ani mu yɛ me ya hyehyeehye wɔ mu tɔnn.
Eyes,Pain & Pressure,"My eye is throbbing with a deep, aching pain.",M'ani hinhim yɛ me ya paara wɔ emu tɔnn.
Eyes,Pain & Pressure,"My eye is throbbing with a deep, aching pain.",Ɛyaw kɛseɛ bi repopo wɔ m'ani mu.
Eyes,Pain & Pressure,"My eye is throbbing with a deep, aching pain.",M'ani mu woso yɛ me ya hyehyeehye.
Eyes,Pain & Pressure,"My eye is throbbing with a deep, aching pain.",Metee ya bi wɔ m'ani mu a ɛretutu nkyɛm nkyɛm.
Eyes,Pain & Pressure,"There's a sharp, stabbing pain behind my eyeball.",Yaw nyanuyan bi rewɔ m'anifua akyi.
Eyes,Pain & Pressure,"There's a sharp, stabbing pain behind my eyeball.",Metee yaw a ɛyɛ denden sɛ nea wɔde dadeɛ rewɔ m'ani akyi.
Eyes,Pain & Pressure,"There's a sharp, stabbing pain behind my eyeball.",M'anifua akyi rewɔ me ya denden paara.
Eyes,Pain & Pressure,"There's a sharp, stabbing pain behind my eyeball.",Yaw bi rewɔ m'ani akyi tɛnn sɛ sekan.
Eyes,Pain & Pressure,"There's a sharp, stabbing pain behind my eyeball.",M'anifua akyi repɔn me yaw nyanuyan.
Eyes,Pain & Pressure,It feels like my eye is being squeezed from the inside.,Te sɛ nea obi remia m'ani mu fi emu tɔnn.
Eyes,Pain & Pressure,It feels like my eye is being squeezed from the inside.,Metee nka sɛ biribi rekyere m'ani mu fi emu.
Eyes,Pain & Pressure,It feels like my eye is being squeezed from the inside.,M'ani mu yɛ me miamiaee fi emu.
Eyes,Pain & Pressure,It feels like my eye is being squeezed from the inside.,Ɛte sɛ nea m'ani mu rekyere me.
Eyes,Pain & Pressure,It feels like my eye is being squeezed from the inside.,Sɛdeɛ ɛteɛ ne sɛ biribi remia m'anifua fi emu.
Eyes,Pain & Pressure,"I have a dull, constant pressure right behind my eye.",Biribi aduru m'ani akyi a ɛntwa da.
Eyes,Pain & Pressure,"I have a dull, constant pressure right behind my eye.",M'ani akyi yɛ me duru daa a ɛngyae yɛ.
Eyes,Pain & Pressure,"I have a dull, constant pressure right behind my eye.",Metee emia bi wɔ m'ani akyi pɛɛ a ɛntae ngyae.
Eyes,Pain & Pressure,"I have a dull, constant pressure right behind my eye.",Yaw mmerɛmmerɛ bi mia m'ani akyi daa.
